Layer,Layer Size,Space Code,Search Space Code,Base 17Q1 Total Sizes,Base 17Q1 Total Docs,Base 17Q1 Size/Doc,
Address,3317.809M,ADMIN,,61.998M,1041249,62B,
Address,3317.809M,MEX_YU,STREET.MEX_YU,2.49M,20042,130B,

Address,3317.809M,MEX_YU,DOOR.MEX_YU,2.749M,20064,143B,

Address,3317.809M,CAN_ON,STREET.CAN_ON,45.056M,315336,149B,

Address,3317.809M,CAN_ON,DOOR.CAN_ON,43.17M,316102,143B,

Address,3317.809M,USA_PA,STREET.USA_PA,43.876M,316909,145B,

Address,3317.809M,USA_PA,DOOR.USA_PA,57.222M,317831,188B,

Address,3317.809M,CAN_PE,STREET.CAN_PE,1.262M,7567,174B,

Address,3317.809M,CAN_PE,DOOR.CAN_PE,1.037M,7568,143B,

Address,3317.809M,USA_OH,STREET.USA_OH,36.904M,245100,157B,

Address,3317.809M,USA_OH,DOOR.USA_OH,53.305M,246136,227B,

Address,3317.809M,USA_OK,STREET.USA_OK,23.733M,143825,173B,

Address,3317.809M,USA_OK,DOOR.USA_OK,24.993M,144314,181B,

Address,3317.809M,USA_OR,STREET.USA_OR,20.084M,109551,192B,

Address,3317.809M,USA_OR,DOOR.USA_OR,22.168M,109897,211B,

Address,3317.809M,USA_NV,STREET.USA_NV,10.923M,65927,173B,

Address,3317.809M,USA_NV,DOOR.USA_NV,10.491M,66110,166B,

Address,3317.809M,USA_NY,STREET.USA_NY,36.819M,256156,150B,

Address,3317.809M,USA_NY,DOOR.USA_NY,53.879M,257333,219B,

Address,3317.809M,CAN_MB,STREET.CAN_MB,5.372M,34463,163B,

Address,3317.809M,CAN_MB,DOOR.CAN_MB,3.64M,34514,110B,

Address,3317.809M,MEX_GT,STREET.MEX_GT,9.28M,67049,145B,

Address,3317.809M,MEX_GT,DOOR.MEX_GT,8.062M,67134,125B,

Address,3317.809M,MEX_GR,STREET.MEX_GR,4.897M,37648,136B,

Address,3317.809M,MEX_GR,DOOR.MEX_GR,2.728M,37682,75B,

Address,3317.809M,USA_ND,STREET.USA_ND,9.439M,42219,234B,

Address,3317.809M,USA_ND,DOOR.USA_ND,7.174M,42323,177B,

Address,3317.809M,USA_NE,STREET.USA_NE,12.849M,69366,194B,

Address,3317.809M,USA_NE,DOOR.USA_NE,12.724M,69506,191B,

Address,3317.809M,USA_NC,STREET.USA_NC,47.951M,340559,147B,

Address,3317.809M,USA_NC,DOOR.USA_NC,58.336M,341376,179B,

Address,3317.809M,USA_NH,STREET.USA_NH,5.795M,42165,144B,

Address,3317.809M,USA_NH,DOOR.USA_NH,6.11M,42259,151B,

Address,3317.809M,CAN_NU,STREET.CAN_NU,0.044M,207,221B,

Address,3317.809M,CAN_NU,DOOR.CAN_NU,0.018M,207,90B,

Address,3317.809M,USA_NM,STREET.USA_NM,13.784M,77634,186B,

Address,3317.809M,USA_NM,DOOR.USA_NM,11.685M,77807,157B,

Address,3317.809M,USA_NJ,STREET.USA_NJ,17.289M,136327,132B,

Address,3317.809M,USA_NJ,DOOR.USA_NJ,25.901M,136767,198B,

Address,3317.809M,CAN_NS,STREET.CAN_NS,5.929M,39393,157B,

Address,3317.809M,CAN_NS,DOOR.CAN_NS,5.726M,39544,151B,

Address,3317.809M,CAN_NT,STREET.CAN_NT,0.325M,904,376B,

Address,3317.809M,CAN_NT,DOOR.CAN_NT,0.126M,904,146B,

Address,3317.809M,MEX_VE,STREET.MEX_VE,10.785M,78948,143B,

Address,3317.809M,MEX_VE,DOOR.MEX_VE,7.573M,79032,100B,

Address,3317.809M,USA_MT,STREET.USA_MT,12.641M,57970,228B,

